char,interactions,modelo_5q$clusters
Addam-Marbrand,56,1
Aegon-Frey-(son-of-Stevron),18,1
Aegon-I-Targaryen,41,4
Aegon-Targaryen-(son-of-Rhaegar),136,4
Aegon-V-Targaryen,6,4
Aemon-Targaryen-(Dragonknight),3,5
Aemon-Targaryen-(Maester-Aemon),395,4
Aenys-Frey,19,4
Aeron-Greyjoy,151,4
Aerys-I-Targaryen,3,4
Aerys-II-Targaryen,184,4
Aggar,13,4
Aggo,112,4
Alayaya,16,4
Albett,11,4
Alebelly,19,4
Alerie-Hightower,6,4
Alester-Florent,41,4
Alla-Tyrell,43,4
Allar-Deem,7,4
Allard-Seaworth,13,3
Alleras,48,3
Alliser-Thorne,159,4
Alyn,32,2
Alys-Arryn,7,4
Alys-Karstark,24,5
Alysane-Mormont,28,3
Amabel,10,3
Amerei-Frey,20,5
Amory-Lorch,105,2
Anders-Yronwood,7,2
Andrew-Estermont,11,3
Andrey-Dalt,37,3
Anguy,81,3
Anya-Waynwood,44,3
Archibald-Yronwood,43,3
Ardrian-Celtigar,5,3
Areo-Hotah,118,2
Arianne-Martell,189,3
Armen,23,5
Arnolf-Karstark,20,3
Aron-Santagar,3,5
Arron,14,3
Arson,3,3
Arstan,90,3
Arthor-Karstark,3,2
Arthur-Dayne,24,3
Arwyn-Oakheart,3,3
Arya-Stark,1460,3
Arys-Oakheart,76,5
Asha-Greyjoy,234,3
Ashara-Dayne,3,3
Aurane-Waters,37,3
Axell-Florent,98,2
Azor-Ahai,6,3
Bael-the-Bard,5,5
Baelor-Blacktyde,15,3
Baelor-I-Targaryen,14,2
Ballabar,23,3
Balman-Byrch,24,2
Balon-Greyjoy,149,3
Balon-Swann,96,3
Bannen,16,5
Barbrey-Dustin,37,3
Barristan-Selmy,470,5
Barsena,4,2
Bartimus,4,3
Bedwyck,18,3
Belaquo,18,2
Bellegere-Otherys,3,3
Belwas,153,3
Ben-Bones,9,2
Ben-Plumm,63,3
Benedar-Belmore,21,3
Benerro,18,5
Benethon-Scales,7,2
Benfred-Tallhart,16,3
Benjen-Stark,125,3
Beric-Dondarrion,166,5
Beth-Cassel,11,5
Big-Boil,6,3
Biter,47,2
Black-Balaq,3,2
Blane,3,2
Bloodbeard,14,3
Blue-Bard,23,3
Bonifer-Hasty,4,3
Boros-Blount,149,3
Bowen-Marsh,187,2
Bran-Stark,1508,5
Brandon-Norrey,6,3
Brandon-Stark,55,3
Brea,15,3
Brella,12,3
Brenett,3,3
Brienne-of-Tarth,521,3
Bronn,313,3
Brus-Buckler,15,3
Brusco,16,3
Bryce-Caron,21,3
Brynden-Rivers,17,5
Brynden-Tully,185,5
Bump,5,5
Butterbumps,10,5
Byam-Flint,3,5
Caggo,24,2
Caleotte,27,3
Camarron,3,2
Captain-Myraham,4,2
Captain-Myraham-Daughter,3,5
Catelyn-Stark,1230,3
Cayn,16,3
Cedra,13,3
Cedric-Payne,3,3
Cellador,22,3
Cersei-Lannister,2232,5
Chataya,10,3
Chayle,7,3
Chella,16,3
Chett,54,1
Chiggen,16,3
Chiswyck,56,3
Clarence-Crabb,4,5
Clayton-Suggs,15,2
Clement-Piper,7,5
Cleon,21,1
Cleos-Frey,86,2
Cletus-Yronwood,23,1
Cley-Cerwyn,12,3
Clubfoot-Karl,9,5
Clydas,88,1
Cohollo,29,5
Coldhands,20,3
Colemon,30,3
Colen-of-Greenpools,9,2
Conn,20,1
Coratt,5,2
Corliss-Penny,3,3
Cortnay-Penrose,39,5
Cotter-Pyke,68,3
Craster,193,2
Creighton-Longbough,27,3
Cressen,84,2
Cromm,8,1
Cutjack,10,3
Daario-Naharis,196,3
Dacey-Mormont,11,1
Daemon-Sand,6,1
Daenerys-Targaryen,1608,3
Daeron-I-Targaryen,3,3
Daeron-II-Targaryen,6,1
Dagmer,23,2
Dalbridge,13,2
Dalla,51,1
Damon-Dance-for-Me,26,5
Dancy,3,2
Danwell-Frey,9,3
Dareon,53,5
Daryn-Hornwood,6,1
Daven-Lannister,18,5
Davos-Seaworth,483,1
Denyo-Terys,11,3
Denys-Darklyn,4,3
Denys-Mallister,59,5
Denzo-Dhan,3,1
Desmond,7,2
Desmond-Grell,30,2
Devan-Seaworth,55,2
Dick-Crabb,39,5
Dick-Follard,8,1
Dick-Straw,7,1
Dirk,10,5
Dobber,4,3
Dolf,10,1
Donal-Noye,85,3
Donella-Hornwood,28,3
Donnel-Waynwood,3,1
Dontos-Hollard,103,2
Doran-Martell,203,1
