char,interactions,modelo_5q$clusters
Tyrion-Lannister,2873,1
Jon-Snow,2757,1
Cersei-Lannister,2232,4
Joffrey-Baratheon,1762,4
Eddard-Stark,1649,4
Daenerys-Targaryen,1608,5
Jaime-Lannister,1569,4
Sansa-Stark,1547,4
Bran-Stark,1508,4
Robert-Baratheon,1488,4
Arya-Stark,1460,4
Robb-Stark,1424,4
Stannis-Baratheon,1375,4
Catelyn-Stark,1230,4
Samwell-Tarly,934,4
Theon-Greyjoy,782,4
Petyr-Baelish,733,4
Tywin-Lannister,690,4
Renly-Baratheon,639,4
Varys,609,4
Tommen-Baratheon,539,3
Sandor-Clegane,528,3
Brienne-of-Tarth,521,4
Jeor-Mormont,484,2
Davos-Seaworth,483,4
Barristan-Selmy,470,5
Margaery-Tyrell,442,3
Gregor-Clegane,410,3
Jorah-Mormont,401,5
Aemon-Targaryen-(Maester-Aemon),395,2
Mance-Rayder,389,2
Hodor,383,3
Luwin,376,3
Pycelle,357,3
Rickon-Stark,345,3
Lysa-Arryn,341,3
Loras-Tyrell,329,3
Melisandre,327,2
Bronn,313,3
Drogo,307,5
Meryn-Trant,298,3
Hizdahr-zo-Loraq,292,5
Edmure-Tully,291,3
Meera-Reed,291,3
Ilyn-Payne,268,3
Grenn,265,2
Myrcella-Baratheon,264,3
Jojen-Reed,261,3
Rodrik-Cassel,253,3
Quentyn-Martell,246,5
Ramsay-Snow,241,3
Gendry,238,3
Asha-Greyjoy,234,3
Pypar,232,2
Roose-Bolton,232,3
Irri,220,5
Osmund-Kettleblack,218,3
Gilly,216,2
Victarion-Greyjoy,215,3
Selyse-Florent,207,2
Doran-Martell,203,3
Mace-Tyrell,203,3
Rhaegar-Targaryen,202,5
Jon-Arryn,199,3
Daario-Naharis,196,5
Janos-Slynt,196,2
Kevan-Lannister,196,3
Hot-Pie,195,3
Craster,193,2
Oberyn-Martell,192,3
Arianne-Martell,189,3
Bowen-Marsh,187,2
Brynden-Tully,185,3
Aerys-II-Targaryen,184,3
Jhiqui,183,5
Tormund,180,2
Walder-Frey,176,3
Rafford,171,3
Jon-Connington,169,5
Viserys-Targaryen,169,5
Beric-Dondarrion,166,3
Qhorin-Halfhand,166,2
Ygritte,165,2
Alliser-Thorne,159,2
Podrick-Payne,159,3
Euron-Greyjoy,158,3
Lem,155,3
Dunsen,154,3
Eddison-Tollett,154,2
Belwas,153,5
Jory-Cassel,152,3
Aeron-Greyjoy,151,3
Polliver,151,3
Robert-Arryn,151,3
Balon-Greyjoy,149,3
Boros-Blount,149,3
Lancel-Lannister,149,3
Shae,147,3
Mordane,145,3
Tickler,143,3
Illyrio-Mopatis,138,5
Aegon-Targaryen-(son-of-Rhaegar),136,5
Haldon,135,5
Skahaz-mo-Kandaq,135,5
Jhogo,131,5
Rattleshirt,129,2
Qyburn,127,3
Benjen-Stark,125,2
Val,125,2
Missandei,121,5
Yoren,120,3
Areo-Hotah,118,3
Osha,117,3
Thoros-of-Myr,117,3
Wyman-Manderly,116,3
Aggo,112,5
Jeyne-Poole,112,3
Amory-Lorch,105,3
Taena-of-Myr,105,3
Dontos-Hollard,103,1
Jon-Umber-(Greatjon),102,3
Gyles-Rosby,101,3
Rolly-Duckfield,101,5
Satin,101,2
Gerris-Drinkwater,100,5
Lommy-Greenhands,99,1
Styr,99,2
Axell-Florent,98,1
Balon-Swann,96,3
Penny,92,5
Nan,91,1
Arstan,90,5
Hoster-Tully,90,3
Rickard-Karstark,89,3
Clydas,88,2
Cleos-Frey,86,1
Donal-Noye,85,2
Osney-Kettleblack,85,3
Rakharo,85,5
Tom-of-Sevenstreams,85,3
Cressen,84,2
Anguy,81,3
Othell-Yarwyck,81,2
Pylos,77,1
Rorge,77,3
Arys-Oakheart,76,3
High-Sparrow,76,1
Salladhor-Saan,74,1
Vargo-Hoat,73,3
Harwin,71,3
Shagga,70,1
Cotter-Pyke,68,2
Jarl,68,2
Obara-Sand,68,1
Qotho,68,5
Shireen-Baratheon,68,2
Randyll-Tarly,67,3
Mirri-Maz-Duur,66,5
Mycah,65,1
Yandry,65,5
Jaqen-Hghar,64,1
Marillion,64,3
Ryman-Frey,64,3
Ben-Plumm,63,5
Garin-(orphan),63,1
Halder,62,2
Hareth-(Moles-Town),60,2
Denys-Mallister,59,2
Grey-Worm,59,5
Hyle-Hunt,59,1
Nestor-Royce,58,1
Galazza-Galare,57,5
Mandon-Moore,57,3
Tyene-Sand,57,1
Addam-Marbrand,56,3
Chiswyck,56,3
Elia-Martell,56,1
Thoren-Smallwood,56,2
Brandon-Stark,55,1
Devan-Seaworth,55,1
Dywen,55,2
Jacelyn-Bywater,55,3
Olenna-Redwyne,55,3
Owen,55,2
Chett,54,2
Doreah,54,5
Lemore,54,5
Dareon,53,1
Walder-Frey-(son-of-Merrett),52,1
Dalla,51,2
Lollys-Stokeworth,51,1
Lothar-Frey,50,3
Hobb,49,2
Jeyne-Westerling,49,1
Megga-Tyrell,49,1
Reznak-mo-Reznak,49,5
Weese,49,1
Alleras,48,1
Tanda-Stokeworth,48,1
Yezzan-zo-Qaggaz,48,1
Biter,47,1
Meribald,47,1
Pate-(novice),47,1
Hallis-Mollen,46,1
Mully,46,2
Ysilla,46,5
Elmar-Frey,45,3
Haggo,45,5
Tattered-Prince,45,1
Anya-Waynwood,44,1
Edric-Storm,44,1
Elinor-Tyrell,44,1
Emmon-Frey,44,1
Garlan-Tyrell,44,1
Greenbeard,44,1
Small-Paul,44,2
Alla-Tyrell,43,1
Archibald-Yronwood,43,1
Meris,43,1
Orton-Merryweather,43,3
Roslin-Frey,43,1
Syrio-Forel,43,1
Unella,43,1
Harys-Swyft,42,3
Tomard,42,1
Xaro-Xhoan-Daxos,42,1
Aegon-I-Targaryen,41,1
Alester-Florent,41,1
Dorcas,41,1
Todder,41,2
Justin-Massey,40,1
Lyanna-Stark,40,1
Nymeria-Sand,40,1
Yohn-Royce,40,1
Cortnay-Penrose,39,1
Dick-Crabb,39,1
Harma,39,2
Moqorro,39,1
Varamyr,39,1
Andrey-Dalt,37,1
Aurane-Waters,37,3
Barbrey-Dustin,37,1
Leathers,37,2
Vardis-Egen,37,1
Willas-Tyrell,37,1
Moon-Boy,36,1
Mathis-Rowan,35,1
Emmett,34,2
Falyse-Stokeworth,34,1
Galbart-Glover,34,1
Gerold-Dayne,34,1
Gerold-Hightower,34,1
Groleo,34,5
Mya-Stone,34,1
Paxter-Redwyne,34,1
Shagwell,34,1
Sour-Alyn,34,1
Walton,34,1
Waymar-Royce,34,1
Sylva-Santagar,33,1
Waif,33,1
Alyn,32,1
Marq-Piper,32,1
Wex-Pyke,32,1
Harry-Strickland,31,1
Jocelyn-Swyft,31,1
Lorren,31,1
Colemon,30,1
Desmond-Grell,30,1
Jaremy-Rykker,30,2
Kindly-Man,30,1
Lark,30,2
Lothor-Brune,30,1
Rodrik-Harlaw,30,1
Will-(prologue),30,1
Cohollo,29,5
Gared,29,1
Godry-Farring,29,1
Kegs,29,2
Ryk,29,2
Timett,29,1
Alysane-Mormont,28,1
Donella-Hornwood,28,1
Khrazz,28,1
Maddy,28,1
Nurse,28,1
Vayon-Poole,28,1
Wendel-Manderly,28,1
Willis-Wode,28,1
Wun-Weg-Wun-Dar-Wun,28,2
Caleotte,27,1
Creighton-Longbough,27,1
Lyle-Crakehall,27,1
Maege-Mormont,27,1
Rowan,27,1
Scolera,27,1
Weasel,27,1
Damon-Dance-for-Me,26,1
Ebben,26,1
Moelle,26,1
Rast,26,2
Spotted-Cat,26,1
Stonesnake,26,1
Walder-Frey-(son-of-Jammos),26,1
Edwyn-Frey,25,1
Mikken,25,1
Osfryd-Kettleblack,25,1
Skinner,25,1
Tansy,25,1
Alys-Karstark,24,1
Arthur-Dayne,24,1
Balman-Byrch,24,1
Caggo,24,1
Ellaria-Sand,24,1
Hero,24,5
High-Septon-(Tyrions),24,1
Leo-Tyrell,24,1
Mero,24,1
Narbert-Grandison,24,2
Nute,24,1
Pyat-Pree,24,1
Robett-Glover,24,1
Tristifer-Botley,24,1
Tysha,24,1
Walder-Rivers,24,1
Weeper,24,2
Armen,23,1
Ballabar,23,1
Blue-Bard,23,1
Cletus-Yronwood,23,1
Dagmer,23,1
Holly,23,1
Illifer,23,1
Josmyn-Peckledon,23,1
Patchface,23,2
Spare-Boot,23,2
Symond-Templeton,23,1
Vyman,23,1
Cellador,22,2
Gilwood-Hunter,22,1
Goghor-the-Giant,22,1
Maegor-I-Targaryen,22,1
Pia,22,1
Pyg,22,1
Timeon,22,1
Tycho-Nestoris,22,1
Xhondo,22,1
Benedar-Belmore,21,1
Bryce-Caron,21,1
Cleon,21,1
Gretchel,21,1
Hagen,21,1
Horton-Redfort,21,1
Qezza,21,1
Quaro,21,5
Amerei-Frey,20,1
Arnolf-Karstark,20,1
Coldhands,20,1
Conn,20,1
Hullen,20,1
Mollander,20,1
Mord,20,1
Patrek-of-Kings-Mountain,20,2
Roone,20,1
Squirrel,20,1
Aenys-Frey,19,1
Alebelly,19,1
Jack-Bulwer,19,1
Kraznys-mo-Nakloz,19,1
Lamprey,19,1
Malegorn,19,1
Stevron-Frey,19,1
Sybell-Spicer,19,1
Tallad,19,1
Tytos-Blackwood,19,1
Aegon-Frey-(son-of-Stevron),18,1
Bedwyck,18,2
Belaquo,18,1
Benerro,18,1
Daven-Lannister,18,1
Ogo,18,1
Toregg,18,1
Woth,18,1
Brynden-Rivers,17,1
Grimtongue,17,1
Hosteen-Frey,17,1
Lyn-Corbray,17,1
Mors-Umber,17,1
Sigorn,17,1
Sweets,17,1
Trystane-Martell,17,1
Alayaya,16,1
Bannen,16,1
Benfred-Tallhart,16,1
Brusco,16,1
